contract_id,tender_id,supplier_id,award_amount_kes,contract_start_date,days_delayed,cost_overrun_percentage,delivery_quality,contract_status,supplier_age_at_award_days,supplier_name,kra_pin,incorporation_date,location,company_size,credit_score,category,tender_budget_kes,tender_open_date,tender_description,procuring_entity
C-36,36,163,8700575.61006096,2020-08-23,54,22.95,Good,Completed,1299,Miles Tonight Group,P802992685P,2017-02-01,South Shannon,Small,308,Motor Vehicles & Spare Parts,8443528,2020-08-23,Supply and delivery of motor vehicles & spare parts items,Ministry of Large
C-37,37,750,5550839.764092747,2022-06-23,25,3.65,Good,Completed,-477,Morris Water Ventures,P506883029E,2023-10-13,Bridgesland,Small,731,Consultancy Services,5632388,2022-06-23,Supply and delivery of consultancy services items,Ministry of Majority
C-38,38,265,7591893.804714427,2023-12-18,22,0.0,Good,Completed,-621,Stevens No Limited,P467570835I,2025-08-30,Ericaview,Small,691,Consultancy Services,7551747,2023-12-18,Supply and delivery of consultancy services items,Ministry of Outside
C-39,39,742,3970521.886221235,2024-11-15,11,0.18,Good,Completed,797,Hernandez Trouble Ltd,P255270986L,2022-09-10,South Kylemouth,Small,572,Motor Vehicles & Spare Parts,3981857,2024-11-15,Supply and delivery of motor vehicles & spare parts items,Ministry of Hear
C-40,40,162,146813808.7349369,2021-07-12,237,119.04,Poor,Completed,-154,Joseph I Limited,P741444618H,2021-12-13,Shawnchester,Small,514,Construction & Civil Works,143957128,2021-07-12,Supply and delivery of construction & civil works items,Ministry of Beat
C-41,41,775,228526.05225181754,2024-08-11,15,3.09,Good,Completed,2724,Brown Last Enterprise,P520817418L,2017-02-25,Jensenport,Small,549,Cleaning & Sanitary Services,218581,2024-08-11,Supply and delivery of cleaning & sanitary services items,Ministry of Admit
C-42,42,370,4148635.4810125073,2020-09-06,38,1.86,Good,Completed,-333,Wilson Build Limited,P387643522X,2021-08-05,Amberton,Large,775,Cleaning & Sanitary Services,3952256,2020-09-06,Supply and delivery of cleaning & sanitary services items,Ministry of Recently
C-43,43,885,8811953.325170532,2022-10-11,69,20.0,Good,Completed,-143,Wade Guy Enterprise,P258853889X,2023-03-03,Fernandezburgh,Small,426,Medical Supplies & Pharmaceuticals,8827148,2022-10-11,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Stop
C-44,44,987,9798871.01090115,2021-02-03,4,1.18,Good,Completed,1675,White Condition Ltd,P640893920F,2016-07-04,Natalieberg,Medium,736,Motor Vehicles & Spare Parts,9907020,2021-02-03,Supply and delivery of motor vehicles & spare parts items,Ministry of Increase
C-45,45,995,961008.9906784317,2020-04-09,22,0.0,Good,Completed,529,Macdonald Pay Agencies,P328058634L,2018-10-28,New Katieburgh,Small,559,Consultancy Services,972328,2020-04-09,Supply and delivery of consultancy services items,Ministry of Keep
C-46,46,841,3235031.9826179617,2025-04-04,11,3.11,Good,Completed,1790,Cain Sing Ltd,P828424128Z,2020-05-10,Davidshire,Medium,506,Motor Vehicles & Spare Parts,3210691,2025-04-04,Supply and delivery of motor vehicles & spare parts items,Ministry of Finish
C-47,47,709,12302023.840722073,2021-11-18,89,21.01,Good,Completed,-138,Branch Letter Ltd,P769136744J,2022-04-05,Williamsbury,Small,423,ICT Equipment & Software,12188962,2021-11-18,Supply and delivery of ict equipment & software items,Ministry of Shake
C-48,48,678,8607101.348120147,2022-09-23,27,20.28,Good,Completed,1417,Guerra Who Group,P695411648K,2018-11-06,New Ericport,Medium,482,Medical Supplies & Pharmaceuticals,8413157,2022-09-23,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Religious
C-49,49,503,6281196.821191068,2022-09-12,26,20.0,Good,Completed,2360,Morris These Enterprise,P670193187M,2016-03-27,Lake Adambury,Medium,308,Medical Supplies & Pharmaceuticals,6187595,2022-09-12,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of System
C-50,50,212,9941255.980160248,2021-08-03,33,1.87,Good,Completed,-173,Smith Myself Ltd,P717452511P,2022-01-23,West Ruben,Small,688,Consultancy Services,9846919,2021-08-03,Supply and delivery of consultancy services items,Ministry of Why
C-51,51,138,4745870.789762269,2025-03-24,31,4.17,Good,Completed,175,Osborne Appear Limited,P751124015V,2024-09-30,Wallport,Small,584,Cleaning & Sanitary Services,4610784,2025-03-24,Supply and delivery of cleaning & sanitary services items,Ministry of Culture
C-52,52,363,10043088.205971949,2021-04-07,76,20.93,Good,Completed,-1036,Sellers Performance Agencies,P191001735R,2024-02-07,West David,Large,341,Medical Supplies & Pharmaceuticals,9778075,2021-04-07,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Bar
C-53,53,287,2717468.214336462,2024-06-24,36,1.3,Good,Completed,305,Marks Beat Agencies,P664258474C,2023-08-24,Christianshire,Medium,721,Office Stationery & Supplies,2670466,2024-06-24,Supply and delivery of office stationery & supplies items,Ministry of Pm
C-54,54,570,9538291.693664854,2021-07-22,17,1.92,Good,Completed,-221,Campbell With Enterprise,P569951184Y,2022-02-28,Shorttown,Small,754,Consultancy Services,9279253,2021-07-22,Supply and delivery of consultancy services items,Ministry of Report
C-55,55,984,1143026.8795053617,2020-08-20,35,2.93,Good,Completed,-873,Mcdaniel Sell Limited,P511775108T,2023-01-10,Fitzgeraldview,Small,514,Cleaning & Sanitary Services,1117481,2020-08-20,Supply and delivery of cleaning & sanitary services items,Ministry of Nor
C-56,56,431,8728852.885827051,2020-02-09,79,24.2,Good,Completed,-1030,Thompson Difficult Enterprise,P300951978R,2022-12-05,Seanberg,Small,419,Consultancy Services,8551115,2020-02-09,Supply and delivery of consultancy services items,Ministry of Indicate
C-57,57,942,2412465.110239086,2020-09-12,78,22.56,Good,Completed,-686,Watkins Whether Group,P838724998E,2022-07-30,Dannyburgh,Small,410,Motor Vehicles & Spare Parts,2438377,2020-09-12,Supply and delivery of motor vehicles & spare parts items,Ministry of Congress
C-58,58,152,904330.0732848833,2023-12-07,28,20.0,Good,Completed,874,Levine Her Group,P165015165Z,2021-07-16,Jamesville,Medium,476,Cleaning & Sanitary Services,906564,2023-12-07,Supply and delivery of cleaning & sanitary services items,Ministry of Magazine
C-59,59,319,6232723.049486821,2024-02-24,23,3.59,Good,Completed,2917,Arnold Actually Ltd,P117959560H,2016-02-29,Amandaport,Small,612,Cleaning & Sanitary Services,6147511,2024-02-24,Supply and delivery of cleaning & sanitary services items,Ministry of Trouble
C-60,60,802,17075930.88207694,2023-12-12,16,4.96,Good,Completed,1726,Brown Gun Ltd,P674487589X,2019-03-22,South Shawnfort,Small,553,ICT Equipment & Software,16402677,2023-12-12,Supply and delivery of ict equipment & software items,Ministry of Size
C-61,61,657,338002507.57083654,2023-08-11,581,144.81,Poor,Terminated,790,Watts Million Limited,P911182636E,2021-06-12,Albertchester,Small,746,Construction & Civil Works,322165965,2023-08-11,Supply and delivery of construction & civil works items,Ministry of Message
C-62,62,716,1236990.375359904,2021-10-25,20,0.0,Good,Completed,1245,James Security Agencies,P206948671U,2018-05-29,Delacruzside,Medium,535,ICT Equipment & Software,1237954,2021-10-25,Supply and delivery of ict equipment & software items,Ministry of Tax
C-63,63,445,479518927.9337384,2025-11-03,68,26.39,Poor,Completed,1419,Rogers Future Ventures,P246513857K,2021-12-15,Connerfort,Medium,662,Construction & Civil Works,482602178,2025-11-03,Supply and delivery of construction & civil works items,Ministry of Herself
C-64,64,860,9102823.724204587,2024-02-22,26,3.75,Good,Completed,-210,Robinson Material Limited,P998710123D,2024-09-19,Alexischester,Small,624,Motor Vehicles & Spare Parts,9195781,2024-02-22,Supply and delivery of motor vehicles & spare parts items,Ministry of Road
C-65,65,344,142012399.28928846,2024-01-19,66,20.0,Good,Completed,-630,Casey Gas Limited,P503786306R,2025-10-10,Diazshire,Medium,387,Construction & Civil Works,138426955,2024-01-19,Supply and delivery of construction & civil works items,Ministry of Summer
C-66,66,305,4640975.240156532,2021-10-25,1,0.0,Good,Completed,991,Zimmerman Sure Ventures,P597169479D,2019-02-07,Faulknerside,Small,849,Cleaning & Sanitary Services,4610579,2021-10-25,Supply and delivery of cleaning & sanitary services items,Ministry of Car
C-67,67,809,7638775.692744664,2020-10-23,5,2.25,Good,Completed,1602,Riggs Check Group,P739460592J,2016-06-04,Mullinschester,Small,537,Consultancy Services,7663493,2020-10-23,Supply and delivery of consultancy services items,Ministry of Cut
C-68,68,692,268826145.8202108,2020-09-02,90,24.5,Poor,Terminated,-1120,Jordan She Group,P447302779M,2023-09-27,New Amy,Medium,782,Construction & Civil Works,270703251,2020-09-02,Supply and delivery of construction & civil works items,Ministry of Admit
C-69,69,840,2563276.909356462,2024-03-05,0,2.49,Good,Completed,2718,Roth Build Ventures,P633803762M,2016-09-25,North Linda,Large,759,Motor Vehicles & Spare Parts,2478907,2024-03-05,Supply and delivery of motor vehicles & spare parts items,Ministry of Cup
C-70,70,303,4716140.944912541,2025-02-25,7,2.01,Good,Completed,1022,Simmons Mission Enterprise,P150341410W,2022-05-10,Floydmouth,Medium,591,Motor Vehicles & Spare Parts,4632688,2025-02-25,Supply and delivery of motor vehicles & spare parts items,Ministry of Determine
C-71,71,667,7388774.241241482,2022-11-20,31,26.24,Good,Completed,1567,James Actually Ventures,P230955221X,2018-08-06,South Kelsey,Medium,362,Medical Supplies & Pharmaceuticals,7233131,2022-11-20,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Check
C-72,72,881,5138982.737639417,2023-11-24,2,0.0,Good,Completed,2367,Clarke Congress Limited,P947469747Q,2017-06-01,South Nathan,Small,681,Office Stationery & Supplies,4981909,2023-11-24,Supply and delivery of office stationery & supplies items,Ministry of Least
C-73,73,497,9733785.059921354,2025-01-19,19,6.64,Good,Completed,-178,Jones Visit Ventures,P308889819G,2025-07-16,Port Erinhaven,Small,524,Consultancy Services,9403721,2025-01-19,Supply and delivery of consultancy services items,Ministry of Toward
C-74,74,198,2418165.855221929,2024-09-26,23,20.0,Good,Completed,1835,Cox Couple Ltd,P329987621V,2019-09-18,Leeberg,Medium,445,Office Stationery & Supplies,2445704,2024-09-26,Supply and delivery of office stationery & supplies items,Ministry of Cut
C-75,75,87,42241990.18790897,2020-07-07,111,24.71,Poor,Completed,-291,Santos Power Enterprise,P967797300I,2021-04-24,Marshallshire,Small,576,ICT Equipment & Software,42866372,2020-07-07,Supply and delivery of ict equipment & software items,Ministry of Speech
C-76,76,144,8163355.654655972,2022-10-12,18,0.0,Good,Completed,-1076,Taylor Draw Enterprise,P826197069U,2025-09-22,Coffeyside,Medium,719,Cleaning & Sanitary Services,8320038,2022-10-12,Supply and delivery of cleaning & sanitary services items,Ministry of Matter
C-77,77,744,8693148.680469532,2022-07-13,57,20.8,Good,Completed,675,Foley Of Group,P966997739A,2020-09-06,Youngshire,Small,354,Consultancy Services,8517944,2022-07-13,Supply and delivery of consultancy services items,Ministry of But
C-78,78,366,508217969.817867,2020-12-29,706,145.85,Poor,Terminated,734,Lopez Thousand Ventures,P584258607N,2018-12-26,Port Michaeltown,Small,641,Construction & Civil Works,494740342,2020-12-29,Supply and delivery of construction & civil works items,Ministry of Claim
C-79,79,860,19509833.07488628,2024-06-06,50,4.96,Good,Completed,-105,Robinson Material Limited,P998710123D,2024-09-19,Alexischester,Small,624,ICT Equipment & Software,19884838,2024-06-06,Supply and delivery of ict equipment & software items,Ministry of Light
C-80,80,228,5358287.202795434,2025-10-12,38,20.23,Good,Completed,2215,Herring Alone Enterprise,P749715626J,2019-09-19,Rushstad,Medium,392,Medical Supplies & Pharmaceuticals,5404120,2025-10-12,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Market
C-81,81,971,1605432.7295204103,2020-02-13,36,20.22,Good,Completed,1227,Fisher Shoulder Ventures,P973411714J,2016-10-04,Shawntown,Medium,300,Cleaning & Sanitary Services,1547947,2020-02-13,Supply and delivery of cleaning & sanitary services items,Ministry of Listen
C-82,82,307,8760287.064493114,2023-07-06,18,3.47,Good,Completed,752,Calderon Approach Agencies,P388258432Y,2021-06-14,Port Charlesshire,Medium,517,Office Stationery & Supplies,8378499,2023-07-06,Supply and delivery of office stationery & supplies items,Ministry of Defense
C-83,83,639,6722433.106813925,2021-10-07,18,5.5,Good,Completed,1539,Haley Citizen Limited,P607865951Z,2017-07-21,East Robertberg,Medium,610,Consultancy Services,6706470,2021-10-07,Supply and delivery of consultancy services items,Ministry of Themselves
C-84,84,628,765969.6961572935,2024-12-31,6,0.0,Good,Completed,2106,Robinson Painting Agencies,P388917924L,2019-03-27,South Jillian,Small,647,Medical Supplies & Pharmaceuticals,776296,2024-12-31,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Approach
C-85,85,535,7193461.811754232,2022-01-01,26,0.0,Good,Completed,-407,Williams Community Limited,P628734252I,2023-02-12,Rodriguezborough,Medium,560,Office Stationery & Supplies,7135655,2022-01-01,Supply and delivery of office stationery & supplies items,Ministry of Board
C-86,86,288,475581726.6665964,2023-10-13,115,46.4,Poor,Terminated,2398,Poole Weight Ltd,P642762599M,2017-03-20,East Mark,Medium,442,Construction & Civil Works,460896022,2023-10-13,Supply and delivery of construction & civil works items,Ministry of Sell
C-87,87,31,186985873.53275225,2022-08-04,44,5.12,Good,Completed,-822,Jones System Enterprise,P690907304G,2024-11-03,Lake Yvettetown,Medium,678,Construction & Civil Works,181713207,2022-08-04,Supply and delivery of construction & civil works items,Ministry of Just
C-88,88,632,9349753.41244658,2025-02-02,15,0.0,Good,Completed,112,Henry South Ventures,P648825565R,2024-10-13,Walkershire,Medium,755,Consultancy Services,9267491,2025-02-02,Supply and delivery of consultancy services items,Ministry of Since
C-89,89,2,7343770.0901407795,2023-06-21,79,22.18,Good,Completed,-12,Gardner Performance Group,P553035110C,2023-07-03,North Jefferyhaven,Small,421,Office Stationery & Supplies,7284872,2023-06-21,Supply and delivery of office stationery & supplies items,Ministry of Side
C-90,90,733,2265248.9856679915,2023-04-29,18,1.63,Good,Completed,407,Newton Phone Group,P675696756H,2022-03-18,New Danielmouth,Small,533,Consultancy Services,2289921,2023-04-29,Supply and delivery of consultancy services items,Ministry of Fill
C-91,91,997,20970752.062913243,2020-03-22,57,16.29,Poor,Completed,68,Garza Born Ventures,P998697433U,2020-01-14,North Christopher,Small,589,ICT Equipment & Software,20475372,2020-03-22,Supply and delivery of ict equipment & software items,Ministry of Instead
C-92,92,728,5089808.640787559,2022-12-01,28,0.97,Good,Completed,313,Hall Agree Ventures,P485753927F,2022-01-22,Andersonfort,Medium,748,Motor Vehicles & Spare Parts,4922139,2022-12-01,Supply and delivery of motor vehicles & spare parts items,Ministry of Perhaps
C-93,93,388,854393.5768515639,2024-05-06,0,0.57,Good,Completed,2187,Frazier Act Limited,P108657116S,2018-05-11,Lisachester,Medium,796,Motor Vehicles & Spare Parts,862371,2024-05-06,Supply and delivery of motor vehicles & spare parts items,Ministry of Worry
C-94,94,990,26786419.086296838,2024-01-26,7,0.0,Good,Completed,673,Juarez Everything Ltd,P655095194U,2022-03-24,Staffordmouth,Medium,843,ICT Equipment & Software,25556359,2024-01-26,Supply and delivery of ict equipment & software items,Ministry of Technology
C-95,95,237,510224641.6298766,2025-03-15,30,1.62,Good,Completed,3057,Compton Quality Enterprise,P179634081C,2016-10-31,Frazierstad,Large,636,Construction & Civil Works,495308214,2025-03-15,Supply and delivery of construction & civil works items,Ministry of Each
C-96,96,546,6761716.02785689,2024-04-14,26,20.0,Good,Completed,1947,Boone System Enterprise,P113712236H,2018-12-15,North Oscarton,Small,358,Consultancy Services,6600785,2024-04-14,Supply and delivery of consultancy services items,Ministry of News
C-97,97,814,7875032.836074343,2020-02-11,36,0.0,Good,Completed,72,Stewart Next Group,P833232853C,2019-12-01,New Danachester,Medium,559,Office Stationery & Supplies,7963438,2020-02-11,Supply and delivery of office stationery & supplies items,Ministry of Part
C-98,98,106,8390738.357864555,2021-11-23,25,0.0,Good,Completed,-1257,French Process Agencies,P733281747Q,2025-05-03,South Danny,Medium,770,Medical Supplies & Pharmaceuticals,8072368,2021-11-23,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Attack
C-99,99,867,2327575.2852685936,2021-08-09,0,0.85,Good,Completed,1337,Savage Produce Group,P598533805T,2017-12-11,Port Courtneyfurt,Medium,804,Office Stationery & Supplies,2335883,2021-08-09,Supply and delivery of office stationery & supplies items,Ministry of Raise
C-100,100,217,856614.8989718448,2022-07-02,42,0.0,Good,Completed,345,Li Continue Enterprise,P991617660X,2021-07-22,Pollardfort,Small,607,Motor Vehicles & Spare Parts,864265,2022-07-02,Supply and delivery of motor vehicles & spare parts items,Ministry of Material
C-101,101,635,425807768.2960067,2020-09-13,605,168.73,Poor,Terminated,-440,Nguyen Position Agencies,P378851582L,2021-11-27,Joelfort,Small,413,Construction & Civil Works,422446936,2020-09-13,Supply and delivery of construction & civil works items,Ministry of Prevent
C-102,102,617,12251111.009923968,2025-08-19,62,20.19,Good,Completed,29,Wilkins Push Ventures,P630824004C,2025-07-21,East Melissahaven,Small,448,ICT Equipment & Software,11868954,2025-08-19,Supply and delivery of ict equipment & software items,Ministry of Hand
C-103,103,723,5195844.945054141,2022-09-09,11,1.77,Good,Completed,25,Carpenter Return Group,P959106271M,2022-08-15,West Haley,Medium,814,Consultancy Services,5187692,2022-09-09,Supply and delivery of consultancy services items,Ministry of Least
C-104,104,840,848862.2487775718,2020-02-15,0,2.18,Good,Completed,1238,Roth Build Ventures,P633803762M,2016-09-25,North Linda,Large,759,Consultancy Services,834275,2020-02-15,Supply and delivery of consultancy services items,Ministry of Field
C-105,105,153,9853190.150927609,2024-05-10,42,0.67,Good,Completed,-449,Holloway Benefit Ventures,P811642514N,2025-08-02,North Kristinbury,Small,532,Motor Vehicles & Spare Parts,9786427,2024-05-10,Supply and delivery of motor vehicles & spare parts items,Ministry of Manager
C-106,106,811,9354622.810474213,2022-01-23,19,0.37,Good,Completed,-896,Brown Everything Agencies,P911194689H,2024-07-07,East Stevenfort,Medium,686,Office Stationery & Supplies,9087114,2022-01-23,Supply and delivery of office stationery & supplies items,Ministry of Each
C-107,107,339,420183833.21537876,2023-01-17,693,137.4,Poor,Terminated,2031,Turner Mind Ltd,P256696327E,2017-06-26,South Joshua,Small,775,Construction & Civil Works,413847408,2023-01-17,Supply and delivery of construction & civil works items,Ministry of People
C-108,108,384,6422192.705228429,2025-06-14,24,22.99,Good,Completed,3358,Noble Coach Ltd,P573827182D,2016-04-04,South Jamesberg,Small,430,Motor Vehicles & Spare Parts,6124293,2025-06-14,Supply and delivery of motor vehicles & spare parts items,Ministry of Group
C-109,109,534,5683451.834764485,2025-07-12,22,20.0,Good,Completed,3090,Hopkins Able Enterprise,P466529415W,2017-01-25,Amystad,Small,327,Cleaning & Sanitary Services,5418331,2025-07-12,Supply and delivery of cleaning & sanitary services items,Ministry of Tonight
