supplier_id,supplier_name,kra_pin,incorporation_date,location,company_size,credit_score
125,Garner Season Group,P971243675Y,2016-07-13,Mcneilberg,Small,584
126,Johnson Morning Agencies,P733701411V,2021-01-18,Port Meganville,Small,346
127,Bryant Seven Ltd,P254785699A,2021-05-10,North Terrance,Small,752
128,Morgan Room Ventures,P526794469P,2025-10-15,Port Markside,Small,773
129,Stewart Serious Group,P915401487F,2019-11-24,New Caseyport,Small,588
130,Francis Leader Agencies,P205702499W,2026-01-26,South Garrettport,Small,322
131,Williams Style Limited,P160257560S,2025-02-17,Nicholasberg,Medium,399
132,Jenkins Rest Limited,P950961305L,2018-07-16,East Christian,Small,741
133,Harvey Effect Ltd,P634366139L,2024-10-21,East Steven,Small,815
134,Scott Act Limited,P963968184D,2018-08-20,Ericaburgh,Small,459
135,Landry People Enterprise,P421214426O,2016-10-31,Vaughnmouth,Medium,679
136,Gonzalez If Ltd,P618840705G,2024-07-19,South Ashley,Small,726
137,Haney Find Group,P123557463Q,2021-11-04,Hillshire,Medium,716
138,Osborne Appear Limited,P751124015V,2024-09-30,Wallport,Small,584
139,Hall Suffer Group,P478301747O,2023-11-08,New John,Small,601
140,Saunders Responsibility Limited,P246865585O,2023-08-27,Lake Debbieport,Small,334
141,Johnson His Ltd,P886365312I,2023-12-25,West Markchester,Medium,717
142,Anderson Notice Enterprise,P492836532H,2017-11-07,Mariaview,Small,495
143,Raymond Sure Limited,P416905717V,2025-03-28,Lindamouth,Medium,792
144,Taylor Draw Enterprise,P826197069U,2025-09-22,Coffeyside,Medium,719
145,Gibbs Address Ltd,P383960237I,2019-10-03,South Miguelview,Medium,693
146,Carson Yard Group,P498866784G,2021-12-10,South Angel,Medium,491
147,Hoffman Whole Enterprise,P755070775O,2024-12-09,Lake Madisonport,Large,847
148,Wilson Answer Limited,P139956218T,2022-08-03,Wilsonbury,Small,395
149,Taylor Long Agencies,P498370582Q,2024-12-20,Matthewsberg,Small,668
150,Pena These Group,P625432379N,2024-12-13,Crosbyview,Medium,572
151,Wood Life Ltd,P577488537P,2016-06-03,Corystad,Small,641
152,Levine Her Group,P165015165Z,2021-07-16,Jamesville,Medium,476
153,Holloway Benefit Ventures,P811642514N,2025-08-02,North Kristinbury,Small,532
154,Buchanan Describe Enterprise,P173669588W,2025-12-26,New Jason,Small,754
155,Murphy Choose Ventures,P946799779M,2024-10-16,West Micheleberg,Large,683
156,Fernandez Success Ventures,P287364857H,2025-12-21,East Alexisbury,Small,666
157,Smith Evidence Group,P156263020I,2021-12-26,Foxland,Small,695
158,Strickland Must Ltd,P737444033G,2020-11-09,Gordonton,Small,768
159,Kerr Reason Ventures,P659903980T,2023-05-15,Schneidertown,Large,443
160,Mendoza Interest Ltd,P557707813R,2016-09-14,South Jennifermouth,Small,341
161,Miller Political Limited,P259272239E,2016-10-30,West Claudia,Small,522
162,Joseph I Limited,P741444618H,2021-12-13,Shawnchester,Small,514
163,Miles Tonight Group,P802992685P,2017-02-01,South Shannon,Small,308
164,Morgan Long Limited,P528133274A,2018-05-19,West Ronaldview,Medium,552
165,Hernandez Wind Agencies,P609241268E,2019-11-03,Port Christopherchester,Small,467
166,Rodgers Task Limited,P239710404J,2017-01-22,New Sueside,Small,493
167,Martinez Health Group,P814403943W,2019-05-24,Parrishton,Small,721
168,Burke He Enterprise,P211240259K,2025-10-12,East Diane,Small,664
169,Rodriguez Through Ltd,P697285504X,2018-05-04,Port Joshuabury,Medium,810
170,Bruce Speak Ltd,P978779150N,2024-03-02,New Sarahview,Small,369
171,Nelson Sound Ventures,P431769776V,2016-05-20,Adamberg,Small,744
172,Morales Change Ventures,P895609471O,2021-10-04,North Julieborough,Small,390
173,Chavez Coach Limited,P497341481T,2019-11-10,Kimberlyshire,Large,338
174,Ware Clearly Agencies,P269017588W,2022-01-22,Lake Christophermouth,Small,519
175,Tucker Letter Agencies,P544726404R,2022-09-19,Port William,Small,775
176,Rodriguez Resource Group,P828519068L,2019-07-19,Roseport,Medium,300
177,Foster Place Enterprise,P158821683A,2016-07-19,West Sierra,Small,489
178,Duran Figure Ltd,P452318696H,2023-10-09,South Julieburgh,Small,668
179,Patel Drug Ltd,P637152602J,2017-05-21,Charleston,Medium,416
180,Stevens Bank Agencies,P436146289K,2020-06-16,Berrychester,Medium,472
181,Sullivan Garden Group,P284547422Z,2018-12-28,Collierstad,Small,379
182,Richard Either Agencies,P567804106L,2016-12-22,Warrenfurt,Large,528
183,Reese Do Ventures,P457629711X,2024-10-20,North William,Small,831
184,Hicks Western Ltd,P933468715W,2017-03-27,Jessicaberg,Small,532
185,Thomas Decade Ltd,P286293158M,2018-06-17,Port Katherine,Medium,714
186,Bean Production Ltd,P630554118D,2016-11-06,Maldonadoshire,Medium,558
187,Downs Future Ltd,P773469560U,2022-07-11,South Carlos,Large,629
188,Turner Face Agencies,P735032128D,2020-07-08,Williamport,Small,672
189,Johnson Home Limited,P993027458S,2020-09-17,Lake Michelleland,Small,389
190,Hunter Maintain Limited,P723123952J,2022-03-31,South Reginashire,Small,839
191,Morris Maybe Ventures,P638339044J,2022-08-13,South Dalemouth,Small,801
192,Miller Race Ltd,P285283722C,2025-12-02,Lake Samuel,Small,760
193,Mills Cold Ventures,P490732457X,2020-06-28,Paulmouth,Small,846
194,Williams Program Group,P795038832V,2022-11-20,West Codyfurt,Large,555
195,Cummings Realize Group,P747145068J,2018-12-08,Christopherberg,Medium,749
196,Collins Reality Limited,P849987147Q,2025-04-06,Andersonland,Large,541
197,Bennett Strong Enterprise,P452699013I,2019-03-11,Lake Ellenhaven,Small,418
198,Cox Couple Ltd,P329987621V,2019-09-18,Leeberg,Medium,445
199,Phillips Story Ltd,P208599066G,2017-08-24,Lake Matthewberg,Small,581
200,Moore Course Ltd,P992649957S,2022-01-25,Lake Samuel,Large,760
201,Rhodes Economy Ltd,P576954730N,2020-03-15,Karenmouth,Small,398
202,Allen Table Ltd,P942211135E,2018-06-08,West Erika,Small,817
203,Alexander Specific Ventures,P402550088X,2021-10-19,Shawchester,Medium,736
204,Montoya Suddenly Group,P749252434I,2025-10-04,Brettfort,Medium,757
205,Spencer Board Enterprise,P863860982H,2024-11-02,West Christopherburgh,Small,377
206,Whitehead Choice Ltd,P992329618B,2018-10-28,East Lisastad,Small,350
207,Perry Individual Group,P639026034X,2025-05-27,South Virginia,Medium,745
208,Johnson Word Ltd,P206389694T,2019-11-05,Laceyberg,Medium,333
209,Lowery Marriage Ventures,P847401602I,2016-06-23,Westtown,Small,453
210,Smith Dinner Limited,P996534803J,2025-02-26,Rodriguezport,Small,417
211,Martinez Edge Enterprise,P550784243O,2018-06-22,Brownfort,Small,567
212,Smith Myself Ltd,P717452511P,2022-01-23,West Ruben,Small,688
213,Allen Keep Agencies,P301126777Q,2022-03-30,New Theresaland,Medium,700
214,Stephens Stop Group,P645055605J,2025-08-18,South Morganton,Medium,374
215,Zavala Environment Enterprise,P902425085B,2022-06-15,Kristinastad,Large,605
216,Sandoval Body Limited,P928393291L,2018-07-04,Dennisstad,Medium,634
217,Li Continue Enterprise,P991617660X,2021-07-22,Pollardfort,Small,607
218,Cain At Ltd,P868847524X,2022-05-31,Johnsonborough,Small,634
219,Gonzalez Analysis Ventures,P438868427T,2016-07-14,Haysside,Small,405
220,Johnson Radio Enterprise,P305195749S,2020-10-30,Michelleton,Medium,437
221,Rivera Capital Ltd,P958287383X,2024-10-02,Prestonmouth,Small,807
222,Hughes Culture Ventures,P632794158S,2025-01-16,Richardsonhaven,Small,845
223,Miller Language Agencies,P184747224B,2018-10-06,New Kelly,Small,504
224,Murphy Find Agencies,P429097422C,2017-02-13,Jacksonmouth,Medium,410
225,Williams True Ltd,P478557676N,2019-08-12,Hillton,Small,394
226,Walsh Himself Enterprise,P650921917Z,2016-11-05,North Douglas,Small,819
227,Harrington Already Ventures,P235538456E,2022-03-04,Port Deanna,Small,580
228,Herring Alone Enterprise,P749715626J,2019-09-19,Rushstad,Medium,392
229,Jones Certain Limited,P668503222X,2020-07-14,Edwardsview,Medium,350
230,Wilson Simply Enterprise,P299767568F,2018-08-04,Mcintyreville,Medium,765
231,Green Like Ventures,P330393232N,2018-09-18,Heatherfort,Small,833
232,Taylor Back Group,P585377142L,2018-02-05,Osbornmouth,Small,532
233,Mckinney Oil Ventures,P682152066S,2022-10-10,Melissaburgh,Small,845
234,Hicks Campaign Ltd,P315801027Y,2024-01-13,East Kristy,Small,372
235,Spencer Home Limited,P601873197Z,2016-05-11,New Nicole,Medium,420
236,Sanders Series Agencies,P871880418E,2016-10-02,Hammondshire,Small,649
237,Compton Quality Enterprise,P179634081C,2016-10-31,Frazierstad,Large,636
238,Calderon Ok Limited,P786973497L,2017-05-18,Port Tammy,Medium,307
239,Bartlett Around Ltd,P992699085H,2020-06-03,West Fred,Small,602
240,Fletcher Half Agencies,P657162259S,2019-04-28,West Jamesside,Small,327
241,Weber Possible Agencies,P672817675F,2018-11-03,New Shelly,Small,664
242,Hopkins Service Limited,P749762955V,2017-08-21,Port Michelleland,Small,611
243,May Part Enterprise,P384172112P,2016-07-20,Port Ashley,Medium,662
244,Johnson Visit Ventures,P773412230I,2022-04-11,Dawnport,Small,805
245,Ballard Reveal Agencies,P536038528T,2020-12-04,Joneston,Small,314
246,Perry Majority Ltd,P319068042V,2017-09-04,West Michelle,Medium,327
247,Travis Hair Limited,P528118701I,2019-04-16,Zacharyville,Small,572
248,Owens Example Agencies,P582750043P,2019-04-15,North Brent,Small,836
249,Lin Kid Ltd,P366578178K,2025-07-20,Sarahmouth,Small,324
250,Moore Myself Ventures,P601238919F,2017-12-29,Tylerland,Small,532
251,Wagner Effect Group,P331009561L,2025-07-19,Brandonport,Small,527
252,Khan Ready Agencies,P822113500E,2021-01-16,Amandaville,Small,668
253,Khan Short Ventures,P492750748W,2020-05-28,Diazfurt,Small,724
254,Hoffman Him Group,P694018597S,2016-08-09,South Williamside,Small,581
255,Hays Response Limited,P756102581H,2018-11-22,North Phillip,Small,614
256,Morgan Wrong Group,P492566853W,2024-01-17,East Carrie,Small,676
257,Williams American Ltd,P247141682T,2020-02-10,Lindahaven,Small,576
258,Obrien Myself Agencies,P250088694U,2020-08-31,Franciscoport,Small,815
259,Romero Mr Agencies,P671595541F,2022-01-12,Thomastown,Small,649
260,Nunez Keep Ltd,P726745401T,2019-10-12,New Thomasshire,Small,542
261,Griffith Past Group,P615877957K,2021-11-15,Hernandezbury,Large,522
262,Vaughan Break Agencies,P304853117B,2016-05-30,Edwardsberg,Small,374
263,Harris More Ventures,P932120169N,2020-03-23,Salaston,Small,417
264,Stone Option Ltd,P449019278Q,2023-02-26,Foxmouth,Small,740
265,Stevens No Limited,P467570835I,2025-08-30,Ericaview,Small,691
266,Lee Employee Limited,P399580835J,2022-03-13,Jeffreyport,Small,599
267,Bush Road Group,P856975382F,2023-10-23,Timothyside,Small,417
268,Pope Eye Ventures,P409011489H,2025-06-07,Huangfurt,Small,524
269,Blevins Summer Ventures,P257277541S,2024-04-12,West Stephanieland,Small,300
270,Ramos Establish Limited,P902448600E,2019-07-24,East Maria,Medium,849
271,Hoffman Expert Group,P247395716G,2018-10-22,East Brent,Small,810
272,Perez Early Ventures,P156361897G,2025-02-23,Riverafort,Small,558
273,Townsend Accept Ltd,P690936560K,2017-02-06,Delgadofort,Small,309
274,Gonzalez Field Group,P444851196S,2020-11-14,Port Christophershire,Small,471
275,Rodgers To Limited,P140048684L,2018-06-02,Khanburgh,Small,620
276,Johnson Think Group,P526269674Y,2025-06-08,Lopezport,Small,849
277,Smith Out Enterprise,P747233283G,2024-11-11,Justinside,Small,617
278,Small Center Ventures,P641394238D,2021-05-04,Jamesville,Large,633
279,Simon Raise Group,P376236056T,2019-05-27,North Jill,Medium,436
280,Bradley Sometimes Limited,P307405357L,2024-01-02,Wilcoxhaven,Small,846
281,Morales Beyond Ltd,P298407302I,2019-05-17,Morrisbury,Medium,648
282,Reyes Likely Enterprise,P909340042R,2016-02-29,Kevinshire,Medium,569
283,Valdez Room Ventures,P353727962D,2016-03-17,South Kurtfurt,Small,464
284,Leblanc View Group,P855438611X,2022-12-16,Hannahport,Small,377
285,Walker Cell Limited,P613443905J,2019-10-09,Adkinsstad,Large,341
286,Dunn Market Ltd,P913198930I,2020-04-03,Port John,Medium,594
287,Marks Beat Agencies,P664258474C,2023-08-24,Christianshire,Medium,721
288,Poole Weight Ltd,P642762599M,2017-03-20,East Mark,Medium,442
289,Wilson Describe Ltd,P869784803L,2021-04-19,Davishaven,Small,524
290,Brown Cause Limited,P651095672A,2020-07-20,Elliottside,Small,403
291,Roman Several Enterprise,P123375849Z,2020-09-20,Lisaborough,Small,497
292,Williams Guy Agencies,P852032540E,2021-11-17,North Valeriefort,Small,478
293,Ortiz Specific Limited,P245415636X,2016-05-30,Brooksfurt,Small,314
294,Stark Huge Group,P503346325F,2020-07-31,Lake Michelle,Small,777
295,Haney Increase Enterprise,P667840357I,2017-04-13,Port Adam,Medium,849
296,Evans Report Ltd,P872121274I,2016-04-28,Patelbury,Small,710
297,Reed Fact Ltd,P302379343U,2018-07-28,North Lisachester,Small,821
298,Mayer Visit Group,P116799547P,2022-03-31,North Craig,Medium,417
299,Harper Score Agencies,P152265802P,2016-06-06,South Scottside,Small,527
300,Shields Arrive Group,P250469429G,2018-04-08,Jimshire,Small,314
301,Harper Remember Group,P978731508U,2019-04-14,West Nancy,Small,456
302,Boyd Job Ventures,P422660441R,2025-12-14,New Stacyburgh,Medium,429
303,Simmons Mission Enterprise,P150341410W,2022-05-10,Floydmouth,Medium,591
304,Russell First Limited,P504221050L,2023-01-22,Allenbury,Small,368
305,Zimmerman Sure Ventures,P597169479D,2019-02-07,Faulknerside,Small,849
306,Price Especially Agencies,P318331154V,2021-05-25,South Melanieland,Small,645
307,Calderon Approach Agencies,P388258432Y,2021-06-14,Port Charlesshire,Medium,517
308,Hansen Measure Group,P324292944V,2023-05-04,Susantown,Small,509
309,Lee Site Ltd,P225967304V,2018-03-19,Rochaborough,Small,759
310,Allen Fund Ventures,P932701695S,2020-01-23,Owensstad,Small,623
311,Ward Us Group,P633947427D,2019-03-07,Port Tinafort,Large,426
312,Flores Democrat Limited,P498041381U,2023-09-18,Williamsbury,Medium,677
313,Smith On Ltd,P727099478L,2023-07-05,Phillipsborough,Small,328
314,James These Agencies,P363850592F,2019-05-24,Jonathanfort,Large,706
315,May Military Ltd,P594811370K,2025-10-05,Garyside,Small,704
316,Stark Occur Limited,P789137659D,2020-12-23,Port Melanieton,Medium,481
317,Gutierrez Thousand Ltd,P777210736O,2023-09-28,Lake Edwardborough,Small,670
318,Brooks Prepare Group,P784755860Q,2021-02-25,Hopkinstown,Small,608
319,Arnold Actually Ltd,P117959560H,2016-02-29,Amandaport,Small,612
320,Li Represent Group,P562324458Z,2016-04-07,North Samantha,Medium,543
321,Allen President Ltd,P665277813Q,2021-05-04,Josephfurt,Medium,685
322,Chung Machine Limited,P706666479P,2016-11-19,West Gabriella,Small,646
323,Valdez Toward Ltd,P797818850W,2024-07-29,North Richardfurt,Small,478
324,Brown Act Agencies,P854674236K,2021-08-16,South Meganmouth,Small,479
325,Hodge Beyond Agencies,P667106600C,2021-10-03,East Rachel,Small,460
326,Knight Experience Ltd,P149995533E,2023-01-07,Rachelshire,Medium,455
327,White To Limited,P437675369B,2022-09-05,New Douglas,Medium,383
328,Nicholson Woman Ltd,P182611003T,2024-04-20,New John,Small,641
329,Price Watch Ventures,P680424495V,2024-06-10,Camposberg,Small,659
330,Norris Bar Ltd,P637722224V,2024-01-01,Brianchester,Small,440
331,Jones Point Agencies,P925713533N,2018-06-02,Novakmouth,Medium,617
332,Nelson Little Agencies,P626781451O,2016-05-23,Angelafurt,Small,728
333,Frazier Recent Group,P508099975F,2020-05-31,Laurenland,Small,723
334,Moore Seek Enterprise,P941695782O,2016-11-30,Lake Peter,Small,670
335,Davis Yes Limited,P430999662C,2019-09-14,Kathleenville,Small,412
336,Lopez List Limited,P698058121J,2017-06-03,Garcialand,Small,563
337,Davis Piece Group,P942284665U,2019-08-20,Smithchester,Small,757
338,Miller Wear Enterprise,P700797791P,2019-12-22,Lake Oscar,Medium,679
339,Turner Mind Ltd,P256696327E,2017-06-26,South Joshua,Small,775
340,Patton Herself Limited,P370260533P,2019-02-03,Wheelerborough,Medium,307
341,Taylor According Ltd,P524871030V,2020-09-03,Brockmouth,Small,742
342,Jordan Than Group,P799045497M,2020-07-01,West Malik,Small,538
343,Harris Former Group,P290736564Z,2025-07-27,Kellyfort,Small,563
344,Casey Gas Limited,P503786306R,2025-10-10,Diazshire,Medium,387
345,Osborn Couple Agencies,P831983367X,2018-02-03,Lake Stevenborough,Medium,790
346,Carter Room Ventures,P174258554Y,2020-06-24,Chambersberg,Large,481
347,Allen Reason Group,P265510032T,2022-06-06,Mccormickland,Small,306
348,Harper Pass Limited,P530361198I,2020-08-02,Stephensstad,Small,450
349,Burnett Phone Group,P785240944F,2023-02-11,Port Johnstad,Small,680
350,Salazar Order Enterprise,P792596980R,2017-10-04,Rasmussenmouth,Small,381
351,Jordan Action Limited,P205877984Q,2025-10-02,New Julie,Large,822
352,Watts Do Limited,P578651079X,2021-09-04,Fordshire,Medium,770
353,Hernandez Ago Ventures,P618371508G,2023-01-01,Robertland,Medium,555
354,Shepard Change Agencies,P474015041T,2017-04-04,Stanleyborough,Small,352
355,Bailey Bill Ventures,P570477095U,2021-04-22,Floresport,Small,805
356,Page Agency Agencies,P468377143P,2016-07-17,Lake Laurenbury,Medium,457
357,Arnold Give Enterprise,P701133236B,2021-04-03,Hallfurt,Medium,427
358,Lopez Really Ltd,P564000836Z,2022-05-24,Lake Christinaborough,Small,508
359,Jordan Above Agencies,P856704108N,2020-08-04,West Karen,Medium,536
360,Brown Blue Ltd,P958459117I,2024-03-08,West Mark,Small,577
361,Baker Travel Enterprise,P625579419H,2020-09-02,Candicefurt,Small,741
362,Bailey Through Group,P591624059N,2021-12-19,Port Emily,Small,374
363,Sellers Performance Agencies,P191001735R,2024-02-07,West David,Large,341
364,White Rule Ventures,P251782582G,2019-02-24,Barnesberg,Small,333
365,Henderson Message Ltd,P782364690I,2021-11-04,New Garrett,Small,677
366,Lopez Thousand Ventures,P584258607N,2018-12-26,Port Michaeltown,Small,641
367,Lee If Group,P702994164G,2020-12-10,Ortizfort,Small,586
