contract_id,tender_id,supplier_id,award_amount_kes,contract_start_date,days_delayed,cost_overrun_percentage,delivery_quality,contract_status,supplier_age_at_award_days
C-88,88,632,9349753.41244658,2025-02-02,15,0.0,Good,Completed,112
C-89,89,2,7343770.0901407795,2023-06-21,79,22.18,Good,Completed,-12
C-90,90,733,2265248.9856679915,2023-04-29,18,1.63,Good,Completed,407
C-91,91,997,20970752.062913243,2020-03-22,57,16.29,Poor,Completed,68
C-92,92,728,5089808.640787559,2022-12-01,28,0.97,Good,Completed,313
C-93,93,388,854393.5768515639,2024-05-06,0,0.57,Good,Completed,2187
C-94,94,990,26786419.086296838,2024-01-26,7,0.0,Good,Completed,673
C-95,95,237,510224641.6298766,2025-03-15,30,1.62,Good,Completed,3057
C-96,96,546,6761716.02785689,2024-04-14,26,20.0,Good,Completed,1947
C-97,97,814,7875032.836074343,2020-02-11,36,0.0,Good,Completed,72
C-98,98,106,8390738.357864555,2021-11-23,25,0.0,Good,Completed,-1257
C-99,99,867,2327575.2852685936,2021-08-09,0,0.85,Good,Completed,1337
C-100,100,217,856614.8989718448,2022-07-02,42,0.0,Good,Completed,345
C-101,101,635,425807768.2960067,2020-09-13,605,168.73,Poor,Terminated,-440
C-102,102,617,12251111.009923968,2025-08-19,62,20.19,Good,Completed,29
C-103,103,723,5195844.945054141,2022-09-09,11,1.77,Good,Completed,25
C-104,104,840,848862.2487775718,2020-02-15,0,2.18,Good,Completed,1238
C-105,105,153,9853190.150927609,2024-05-10,42,0.67,Good,Completed,-449
C-106,106,811,9354622.810474213,2022-01-23,19,0.37,Good,Completed,-896
C-107,107,339,420183833.21537876,2023-01-17,693,137.4,Poor,Terminated,2031
C-108,108,384,6422192.705228429,2025-06-14,24,22.99,Good,Completed,3358
C-109,109,534,5683451.834764485,2025-07-12,22,20.0,Good,Completed,3090
C-110,110,558,69981395.42944154,2025-01-19,124,52.14,Poor,Completed,1426
C-111,111,903,3089715.520955151,2022-10-23,42,1.63,Good,Completed,158
C-112,112,268,3989887.580485925,2021-10-04,31,4.1,Good,Completed,-1342
C-113,113,843,5238778.178205204,2022-05-05,3,3.59,Good,Completed,1840
C-114,114,629,7145053.267887975,2024-12-30,4,0.0,Good,Completed,2394
C-115,115,418,6758787.5448227655,2023-11-30,20,21.05,Good,Completed,2695
C-116,116,845,23227148.391778577,2024-10-09,64,17.53,Poor,Completed,-44
C-117,117,702,2760591.48305439,2025-10-28,2,0.0,Good,Completed,3403
C-118,118,548,34749730.944448695,2023-09-24,102,27.99,Poor,Completed,-278
C-119,119,777,9116149.829953955,2024-02-22,3,0.0,Good,Completed,2458
C-120,120,490,5687845.567602938,2024-01-01,35,1.41,Good,Completed,-399
C-121,121,111,10199106.868080238,2021-01-14,45,1.01,Good,Completed,-300
C-122,122,230,2813509.119501586,2023-08-20,0,1.73,Good,Completed,1842
C-123,123,324,7075735.953273836,2024-10-04,44,22.62,Good,Completed,1145
C-124,124,403,10050363.989377053,2025-12-17,1,0.0,Good,Completed,3180
C-125,125,771,3064740.8082929514,2021-05-29,28,21.11,Good,Completed,-393
C-126,126,634,3766620.451668908,2020-04-13,17,3.89,Good,Completed,-141
C-127,127,560,1301383.591740242,2022-02-25,21,0.0,Good,Completed,1793
C-128,128,825,863668.3390989216,2022-02-21,3,2.63,Good,Completed,1812
C-129,129,224,44596352.23655652,2021-01-17,50,21.84,Good,Completed,1434
C-130,130,69,7246005.9668799685,2025-05-13,15,0.0,Good,Completed,588
C-131,131,745,9416370.83186025,2024-11-02,5,3.71,Good,Completed,784
C-132,132,476,2016448.6309555746,2022-08-01,26,1.17,Good,Completed,-1189
C-133,133,456,3122119.5720450277,2021-05-11,29,1.8,Good,Completed,-1520
C-134,134,305,1658725.8815378144,2021-05-05,3,1.89,Good,Completed,818
C-135,135,711,8234753.883262653,2025-12-17,20,1.92,Good,Completed,430
C-136,136,426,192365772.74231994,2022-02-17,54,22.74,Good,Completed,-528
C-137,137,878,1496259.1372631087,2024-08-14,35,20.0,Good,Completed,-290
C-138,138,925,5631577.885303436,2021-08-09,37,23.88,Good,Completed,1323
C-139,139,365,11534269.612426622,2025-02-12,1,0.77,Good,Completed,1196
C-140,140,701,7094587.8906117445,2023-02-03,20,3.23,Good,Completed,-622
C-141,141,773,10171235.138057444,2020-08-16,18,2.29,Good,Completed,900
C-142,142,834,373654290.35902816,2025-07-23,86,54.4,Poor,Completed,770
C-143,143,446,8637139.758644845,2024-10-16,25,22.58,Good,Completed,805
C-144,144,518,32559729.63298813,2024-07-13,25,20.33,Good,Completed,1525
C-145,145,214,1626106.9600624,2024-09-08,84,20.0,Good,Completed,-344
C-146,146,181,6433822.100570975,2024-09-09,60,24.19,Good,Completed,2082
C-147,147,443,6736193.815868357,2020-08-11,42,3.76,Good,Completed,-1296
C-148,148,527,355684614.9413144,2020-04-01,89,47.65,Poor,Completed,-329
C-149,149,165,544418.0052179574,2020-12-31,16,20.0,Good,Completed,424
C-150,150,951,8115224.151034751,2025-03-23,45,21.22,Good,Completed,881
C-151,151,661,6486858.754419409,2022-03-03,44,1.7,Good,Completed,-736
C-152,152,324,383913196.7691364,2021-10-02,730,180.54,Poor,Terminated,47
C-153,153,817,14095446.0629071,2024-07-27,20,3.08,Good,Completed,281
C-154,154,676,8682099.54524446,2024-05-24,59,20.52,Good,Completed,514
C-155,155,216,9448860.33229519,2020-12-04,7,3.56,Good,Completed,884
C-156,156,638,7047062.061000742,2022-01-03,38,1.03,Good,Completed,-815
C-157,157,681,5933891.351634706,2020-09-26,3,0.35,Good,Completed,1002
C-158,158,132,43924739.15048893,2022-08-20,68,29.35,Poor,Terminated,1496
C-159,159,473,8108912.13896872,2024-08-12,6,3.87,Good,Completed,2975
C-160,160,700,2002313.1057550518,2021-06-21,23,2.3,Good,Completed,-1404
C-161,161,508,10074980.142108036,2022-11-03,3,2.66,Good,Completed,1124
C-162,162,305,5978339.433197581,2023-01-11,2,0.0,Good,Completed,1434
C-163,163,496,6366626.363261946,2021-08-05,17,0.0,Good,Completed,651
C-164,164,63,6701956.747722907,2024-07-11,80,20.0,Good,Completed,133
C-165,165,800,39447993.155642256,2023-10-11,20,0.0,Good,Completed,-708
C-166,166,108,203651362.47979006,2020-11-28,263,158.59,Poor,Terminated,-415
C-167,167,404,53331275.239867784,2023-03-06,80,41.96,Poor,Completed,2085
C-168,168,417,2816254.2146414695,2021-05-14,0,0.03,Good,Completed,1546
C-169,169,156,8239074.319869076,2022-07-28,41,3.44,Good,Completed,-1242
C-170,170,735,1686183.4204733698,2022-06-15,13,2.12,Good,Completed,285
C-171,171,945,2136769.439834706,2025-09-16,16,20.0,Good,Completed,3146
C-172,172,901,7673385.0347776,2024-10-06,0,0.28,Good,Completed,1643
C-173,173,533,9094862.995416813,2025-08-29,52,22.93,Good,Completed,1447
C-174,174,945,4283842.692043782,2020-11-14,52,21.83,Good,Completed,1379
C-175,175,14,35968852.23835921,2024-04-21,10,2.69,Good,Completed,2039
C-176,176,493,7141367.770152975,2025-08-29,8,0.11,Good,Completed,626
C-177,177,180,6670707.852240269,2022-01-11,20,20.81,Good,Completed,574
C-178,178,86,9132301.792245572,2025-11-21,6,2.68,Good,Completed,574
C-179,179,248,293336110.2717798,2022-08-09,353,131.95,Poor,Terminated,1212
C-180,180,470,25449082.147061594,2024-07-21,45,21.01,Poor,Completed,1898
C-181,181,990,845295.841156353,2025-07-14,0,0.0,Good,Completed,1208
C-182,182,922,9615421.739899347,2025-05-31,40,20.0,Good,Completed,2572
C-183,183,480,178681985.55247745,2025-11-12,39,4.28,Good,Completed,215
C-184,184,39,3757845.45031794,2024-10-16,0,0.0,Good,Completed,2698
C-185,185,713,222964963.1750037,2023-02-12,74,17.34,Poor,Completed,25
C-186,186,588,5320637.844972619,2022-07-07,54,20.0,Good,Completed,-1121
C-187,187,509,334895201.0836467,2024-01-31,72,24.37,Poor,Completed,748
C-188,188,549,1932851.7960934609,2025-03-28,5,0.91,Good,Completed,1089
C-189,189,952,3602613.756523735,2024-06-15,4,2.42,Good,Completed,640
C-190,190,978,7761374.295586812,2022-01-24,19,0.0,Good,Completed,1999
C-191,191,923,9101153.34374542,2021-09-04,26,0.0,Good,Completed,-536
C-192,192,60,6055585.414718005,2023-08-30,11,0.0,Good,Completed,1653
C-193,193,672,6758535.6637823805,2024-03-14,17,0.0,Good,Completed,78
C-194,194,452,6409396.453753065,2023-11-11,34,21.01,Good,Completed,1236
C-195,195,535,8976707.136701217,2023-04-07,23,0.0,Good,Completed,54
C-196,196,600,6345806.680329643,2023-09-16,64,22.08,Good,Completed,-388
C-197,197,364,9817066.387646858,2024-03-08,21,22.37,Good,Completed,1839
C-198,198,206,6611936.790998005,2024-11-13,29,20.43,Good,Completed,2208
C-199,199,70,6064269.945002419,2022-06-05,28,20.56,Good,Completed,1456
C-200,200,328,6095441.104949936,2025-04-14,28,0.02,Good,Completed,359
C-201,201,78,201837680.86202142,2020-03-22,362,147.61,Poor,Terminated,-1273
C-202,202,654,322358.7529781142,2022-05-04,1,3.25,Good,Completed,1634
C-203,203,764,7058504.503265893,2024-06-09,71,22.85,Good,Completed,-111
C-204,204,850,3852220.116325706,2023-02-14,22,3.69,Good,Completed,-344
C-205,205,831,9761767.161713503,2021-09-14,20,0.5,Good,Completed,585
C-206,206,653,2646252.433209217,2023-01-26,31,0.54,Good,Completed,-610
C-207,207,675,5637725.285802439,2023-02-16,31,1.36,Good,Completed,-1018
C-208,208,651,3342889.908534967,2023-10-24,0,0.0,Good,Completed,2439
C-209,209,637,929009.0877311676,2020-03-02,32,0.0,Good,Completed,127
C-210,210,404,37668468.14321639,2023-03-28,35,29.29,Poor,Completed,2107
C-211,211,357,47052755.297732756,2021-06-12,32,22.01,Good,Completed,70
C-212,212,621,4494378.752808801,2021-10-27,29,2.44,Good,Completed,-1251
C-213,213,926,179177493.4677739,2025-12-02,166,75.54,Poor,Completed,1133
C-214,214,501,5472755.405483832,2024-05-22,30,20.0,Good,Completed,924
C-215,215,323,5915332.400057586,2022-03-28,61,20.0,Good,Completed,-854
C-216,216,261,5465653.756887074,2023-01-16,10,0.02,Good,Completed,427
C-217,217,486,3560988.180270565,2020-04-14,32,0.0,Good,Completed,-18
C-218,218,608,399944160.8166686,2025-08-24,508,139.37,Poor,Terminated,691
C-219,219,910,271863975.31958544,2021-10-14,257,184.32,Poor,Terminated,-959
C-220,220,679,2185240.1676254524,2020-01-12,39,0.9,Good,Completed,-1556
C-221,221,230,31975075.98444358,2025-11-23,5,3.17,Good,Completed,2668
C-222,222,821,9940043.272580981,2024-06-21,24,2.02,Good,Completed,125
C-223,223,267,6669817.086182107,2023-05-24,45,20.0,Good,Completed,-152
C-224,224,250,8757229.138524933,2025-08-16,21,3.45,Good,Completed,2787
C-225,225,143,7114848.566716446,2023-03-14,21,0.0,Good,Completed,-745
C-226,226,329,151427.20118185863,2021-05-27,37,0.97,Good,Completed,-1110
C-227,227,746,8248560.412579175,2021-09-15,54,20.12,Good,Completed,-215
C-228,228,730,5520018.427544045,2024-11-20,0,0.94,Good,Completed,2385
C-229,229,440,1241278.4804889476,2024-01-13,81,20.31,Good,Completed,203
C-230,230,458,24119565.92822289,2022-04-07,15,0.72,Good,Completed,1386
C-231,231,141,7077422.478699069,2021-06-26,27,3.5,Good,Completed,-912
C-232,232,505,17142204.092457294,2023-02-05,20,2.51,Good,Completed,1947
C-233,233,11,8216938.075112452,2024-12-07,14,2.27,Good,Completed,422
C-234,234,308,1648096.77111626,2022-09-22,39,0.0,Good,Completed,-224
C-235,235,120,4684082.282043205,2024-04-08,2,0.0,Good,Completed,1468
C-236,236,54,8861527.448128289,2022-06-21,36,20.0,Good,Completed,1119
C-237,237,950,2172974.0173032684,2020-05-16,34,0.77,Good,Completed,-19
C-238,238,466,3442109.290744483,2020-10-11,66,20.01,Good,Completed,268
C-239,239,766,29080065.711840276,2022-09-04,33,0.0,Good,Completed,-464
C-240,240,669,1910039.3622020022,2024-01-22,0,3.16,Good,Completed,1181
C-241,241,481,10359001.629027372,2023-07-12,44,0.43,Good,Completed,226
C-242,242,899,8560811.431975247,2024-09-02,45,21.22,Good,Completed,2978
C-243,243,941,86816757.87110634,2021-07-31,140,42.86,Poor,Terminated,613
C-244,244,796,6200813.999631178,2023-10-26,10,3.66,Good,Completed,2511
C-245,245,503,506543289.20693994,2024-02-18,140,48.01,Poor,Terminated,2884
C-246,246,23,4772444.023879457,2022-12-08,51,3.33,Good,Completed,-960
C-247,247,596,6518913.803994233,2024-12-09,3,4.36,Good,Completed,599
C-248,248,283,9188005.180265361,2023-01-13,26,20.0,Good,Completed,2493
C-249,249,482,4920902.517086274,2024-04-07,33,20.04,Good,Completed,970
C-250,250,148,9183542.914219854,2025-10-21,44,20.0,Good,Completed,1175
C-251,251,923,262337913.94062042,2025-03-06,194,97.76,Poor,Terminated,743
C-252,252,133,8358186.014742922,2024-03-01,13,1.62,Good,Completed,-234
C-253,253,894,2693737.74239607,2022-11-03,14,0.73,Good,Completed,-1107
C-254,254,212,4059494.940245067,2020-12-09,37,3.61,Good,Completed,-410
C-255,255,132,666498.3865927833,2022-03-20,0,1.05,Good,Completed,1343
C-256,256,658,3820518.185418257,2023-08-11,61,22.31,Good,Completed,-170
C-257,257,901,142748699.46809712,2020-08-29,30,1.2,Good,Completed,144
C-258,258,879,5087107.571661326,2023-06-06,42,0.16,Good,Completed,-506
C-259,259,509,6759842.867891571,2023-02-19,0,0.84,Good,Completed,402
C-260,260,423,4939564.400484104,2022-03-24,1,3.3,Good,Completed,1271
C-261,261,433,4747547.2661264,2021-10-26,55,1.93,Good,Completed,341
C-262,262,303,7224670.320874954,2020-03-02,41,0.97,Good,Completed,-799
C-263,263,231,2255523.527599769,2020-11-07,0,0.0,Good,Completed,781
C-264,264,920,7681418.096257252,2022-07-13,48,2.57,Good,Completed,-404
C-265,265,112,833238.4836752239,2025-05-13,73,22.75,Good,Completed,-256
C-266,266,386,29132692.194790952,2021-09-13,82,22.22,Poor,Completed,-380
C-267,267,724,29755056.74480593,2024-11-29,71,28.97,Poor,Completed,-62
C-268,268,583,4724652.026313027,2020-01-05,70,20.0,Good,Completed,-1825
C-269,269,919,6929269.243066875,2022-02-02,3,1.26,Good,Completed,1827
C-270,270,831,111468372.20102786,2020-04-07,27,2.91,Good,Completed,60
C-271,271,24,3051224.9011159497,2023-06-09,46,0.0,Good,Completed,161
C-272,272,681,28891454.806204658,2022-09-18,1,1.3,Good,Completed,1724
C-273,273,859,826681.3782350826,2024-09-07,16,0.0,Good,Completed,-343
C-274,274,624,2682777.5431587333,2025-01-02,14,0.05,Good,Completed,1197
C-275,275,726,4854390.18328397,2023-08-20,73,22.33,Good,Completed,-758
C-276,276,662,9946088.655646427,2020-10-30,59,21.02,Good,Completed,66
C-277,277,595,3984884.7418416427,2022-10-06,0,0.33,Good,Completed,1861
C-278,278,419,7929077.672522854,2024-01-01,50,20.0,Good,Completed,766
C-279,279,946,5636137.030026045,2025-03-13,1,3.23,Good,Completed,1997
C-280,280,724,2619279.2274499736,2020-07-14,20,1.9,Good,Completed,-1661
C-281,281,400,8685772.669309461,2023-12-26,54,0.0,Good,Completed,79
C-282,282,62,8688567.411909655,2022-04-28,33,20.0,Good,Completed,392
C-283,283,704,1949620.0599641716,2022-05-16,48,22.85,Good,Completed,1752
C-284,284,748,5017596.093496723,2020-04-10,41,20.0,Good,Completed,1347
C-285,285,160,5464074.262366483,2025-05-04,47,20.0,Good,Completed,3154
C-286,286,490,4278656.065063426,2021-08-30,15,0.0,Good,Completed,-1253
C-287,287,131,17017918.538081303,2025-03-12,83,20.52,Good,Completed,23
C-288,288,110,6552378.356903454,2020-02-24,30,20.77,Good,Completed,1386
C-289,289,409,2675328.0809796737,2024-10-10,42,21.54,Good,Completed,3003
C-290,290,135,1644857.9940743358,2021-11-07,0,1.14,Good,Completed,1833
C-291,291,488,6217203.098024383,2020-09-28,4,0.0,Good,Completed,607
C-292,292,957,20375739.914550144,2020-07-05,55,21.83,Good,Completed,875
C-293,293,29,2047994.25331256,2023-04-02,24,0.49,Good,Completed,-542
C-294,294,4,9412473.72418589,2020-04-25,58,21.35,Good,Completed,525
C-295,295,601,8745199.407240286,2023-02-17,49,0.0,Good,Completed,-234
C-296,296,24,354560.5044262291,2022-11-08,40,0.88,Good,Completed,-52
C-297,297,408,195382.1855895153,2020-02-10,50,20.0,Good,Completed,-996
C-298,298,179,6660028.854156985,2025-08-13,52,20.0,Good,Completed,3006
C-299,299,311,259392949.30397934,2025-10-09,35,21.17,Good,Completed,2408
C-300,300,948,246377587.24859717,2024-09-19,28,0.55,Good,Completed,2814
C-301,301,557,17592435.060841873,2024-12-22,16,23.56,Good,Completed,1935
C-302,302,812,255197.25605164366,2025-04-28,41,20.0,Good,Completed,2270
C-303,303,90,4775178.985461557,2020-07-04,38,0.0,Good,Completed,315
C-304,304,473,1808059.8278879856,2023-08-22,0,0.93,Good,Completed,2619
C-305,305,176,8552306.854339436,2023-07-14,17,20.0,Good,Completed,1456
C-306,306,568,272151209.35935706,2025-03-03,6,2.72,Good,Completed,1012
C-307,307,330,1888370.7939654628,2022-01-14,42,20.0,Good,Completed,-717
C-308,308,63,8383999.212218453,2022-06-28,92,24.1,Good,Completed,-611
C-309,309,434,7142259.193844321,2023-03-02,0,5.5,Good,Completed,662
C-310,310,13,1730517.5383874031,2021-07-17,12,0.25,Good,Completed,-1242
C-311,311,336,8981908.530176044,2025-11-16,16,2.11,Good,Completed,3088
C-312,312,399,4501055.7122646,2021-01-03,1,1.64,Good,Completed,837
C-313,313,354,16512601.978730394,2021-02-04,40,27.99,Good,Completed,1402
C-314,314,196,38263083.62349548,2020-07-15,37,0.0,Good,Completed,-1726
C-315,315,751,55428585.88322932,2025-09-17,92,66.51,Poor,Terminated,2443
C-316,316,214,13860134.539773239,2021-01-05,54,20.2,Good,Completed,-1686
C-317,317,460,33011892.708313312,2025-10-06,33,20.0,Good,Completed,2776
C-318,318,772,9194862.725031147,2020-02-29,38,0.0,Good,Completed,-966
C-319,319,922,17641678.07451464,2021-10-14,40,25.84,Good,Completed,1247
C-320,320,4,5675200.84579609,2021-12-02,26,20.0,Good,Completed,1111
C-321,321,810,486814297.7270958,2025-05-10,281,201.29,Poor,Terminated,568
C-322,322,307,6644407.742962337,2022-04-02,41,0.0,Good,Completed,292
C-323,323,146,3897098.427402319,2025-05-24,28,20.27,Good,Completed,1261
C-324,324,236,423113952.1784135,2021-03-19,507,143.99,Poor,Terminated,1629
C-325,325,835,104265536.6853816,2023-08-01,84,23.93,Good,Completed,-161
C-326,326,131,165257.3523767632,2022-12-16,66,20.0,Good,Completed,-794
C-327,327,120,5764049.696273769,2023-01-10,3,1.04,Good,Completed,1014
C-328,328,157,508061510.61185944,2021-08-13,346,203.51,Poor,Terminated,-135
C-329,329,647,27404462.646913923,2022-10-15,43,15.55,Poor,Completed,2156
C-330,330,450,10511756.696434315,2020-05-23,52,20.0,Good,Completed,956
C-331,331,18,8968049.686361669,2022-06-11,7,1.19,Good,Completed,1911
C-332,332,748,1140122.8089806798,2025-06-24,29,20.0,Good,Completed,3248
C-333,333,501,10030430.266317347,2021-08-12,52,20.0,Good,Completed,-90
C-334,334,656,1957833.2951553937,2024-01-19,0,1.95,Good,Completed,1956
C-335,335,819,408864855.55890596,2024-07-29,98,32.12,Poor,Completed,2177
C-336,336,855,6295712.900190776,2024-09-16,42,4.45,Good,Completed,-110
C-337,337,948,9586550.417473417,2023-05-30,6,0.0,Good,Completed,2336
C-338,338,430,7713935.32992407,2020-07-02,31,20.0,Good,Completed,1425
C-339,339,610,3039037.8956663865,2023-01-01,0,0.25,Good,Completed,1029
C-340,340,999,9396747.124268124,2025-10-21,1,5.63,Good,Completed,2360
C-341,341,163,5125893.224239705,2023-03-30,22,21.88,Good,Completed,2248
C-342,342,373,15883274.429207437,2024-09-09,79,27.37,Good,Completed,306
C-343,343,142,1827656.4956767838,2025-09-18,39,21.82,Good,Completed,2872
C-344,344,878,6769144.656735643,2023-05-01,50,21.09,Good,Completed,-761
C-345,345,273,148959.06071074872,2020-01-03,54,20.76,Good,Completed,1061
C-346,346,477,30815939.823074766,2025-10-06,41,19.43,Poor,Completed,2845
C-347,347,657,6339800.7025961,2021-09-25,36,1.22,Good,Completed,105
C-348,348,654,2049404.7230523804,2020-01-02,0,0.0,Good,Completed,781
C-349,349,390,139277721.98227382,2025-07-12,55,23.87,Good,Completed,2945
C-350,350,634,9697508.558591897,2023-08-02,6,3.52,Good,Completed,1065
C-351,351,877,6963982.908372453,2024-01-29,28,20.0,Good,Completed,1102
C-352,352,70,7510579.642816701,2025-01-19,57,23.58,Good,Completed,2415
C-353,353,979,8565285.051227298,2023-07-06,50,20.0,Good,Completed,2280
C-354,354,540,1991849.067861452,2021-09-08,8,0.95,Good,Completed,1664
