tender_id,category,tender_budget_kes,tender_open_date,tender_description,procuring_entity
88,Consultancy Services,9267491,2025-02-02,Supply and delivery of consultancy services items,Ministry of Since
89,Office Stationery & Supplies,7284872,2023-06-21,Supply and delivery of office stationery & supplies items,Ministry of Side
90,Consultancy Services,2289921,2023-04-29,Supply and delivery of consultancy services items,Ministry of Fill
91,ICT Equipment & Software,20475372,2020-03-22,Supply and delivery of ict equipment & software items,Ministry of Instead
92,Motor Vehicles & Spare Parts,4922139,2022-12-01,Supply and delivery of motor vehicles & spare parts items,Ministry of Perhaps
93,Motor Vehicles & Spare Parts,862371,2024-05-06,Supply and delivery of motor vehicles & spare parts items,Ministry of Worry
94,ICT Equipment & Software,25556359,2024-01-26,Supply and delivery of ict equipment & software items,Ministry of Technology
95,Construction & Civil Works,495308214,2025-03-15,Supply and delivery of construction & civil works items,Ministry of Each
96,Consultancy Services,6600785,2024-04-14,Supply and delivery of consultancy services items,Ministry of News
97,Office Stationery & Supplies,7963438,2020-02-11,Supply and delivery of office stationery & supplies items,Ministry of Part
98,Medical Supplies & Pharmaceuticals,8072368,2021-11-23,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Attack
99,Office Stationery & Supplies,2335883,2021-08-09,Supply and delivery of office stationery & supplies items,Ministry of Raise
100,Motor Vehicles & Spare Parts,864265,2022-07-02,Supply and delivery of motor vehicles & spare parts items,Ministry of Material
101,Construction & Civil Works,422446936,2020-09-13,Supply and delivery of construction & civil works items,Ministry of Prevent
102,ICT Equipment & Software,11868954,2025-08-19,Supply and delivery of ict equipment & software items,Ministry of Hand
103,Consultancy Services,5187692,2022-09-09,Supply and delivery of consultancy services items,Ministry of Least
104,Consultancy Services,834275,2020-02-15,Supply and delivery of consultancy services items,Ministry of Field
105,Motor Vehicles & Spare Parts,9786427,2024-05-10,Supply and delivery of motor vehicles & spare parts items,Ministry of Manager
106,Office Stationery & Supplies,9087114,2022-01-23,Supply and delivery of office stationery & supplies items,Ministry of Each
107,Construction & Civil Works,413847408,2023-01-17,Supply and delivery of construction & civil works items,Ministry of People
108,Motor Vehicles & Spare Parts,6124293,2025-06-14,Supply and delivery of motor vehicles & spare parts items,Ministry of Group
109,Cleaning & Sanitary Services,5418331,2025-07-12,Supply and delivery of cleaning & sanitary services items,Ministry of Tonight
110,Construction & Civil Works,70030702,2025-01-19,Supply and delivery of construction & civil works items,Ministry of Realize
111,Motor Vehicles & Spare Parts,3063944,2022-10-23,Supply and delivery of motor vehicles & spare parts items,Ministry of Use
112,Cleaning & Sanitary Services,4048401,2021-10-04,Supply and delivery of cleaning & sanitary services items,Ministry of Seek
113,Consultancy Services,5334259,2022-05-05,Supply and delivery of consultancy services items,Ministry of Keep
114,Medical Supplies & Pharmaceuticals,6950807,2024-12-30,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Report
115,Cleaning & Sanitary Services,6884672,2023-11-30,Supply and delivery of cleaning & sanitary services items,Ministry of Here
116,ICT Equipment & Software,22153925,2024-10-09,Supply and delivery of ict equipment & software items,Ministry of Successful
117,Office Stationery & Supplies,2692316,2025-10-28,Supply and delivery of office stationery & supplies items,Ministry of Color
118,ICT Equipment & Software,33765940,2023-09-24,Supply and delivery of ict equipment & software items,Ministry of Fear
119,Cleaning & Sanitary Services,8777828,2024-02-22,Supply and delivery of cleaning & sanitary services items,Ministry of Before
120,Cleaning & Sanitary Services,5538757,2024-01-01,Supply and delivery of cleaning & sanitary services items,Ministry of Carry
121,Cleaning & Sanitary Services,9883893,2021-01-14,Supply and delivery of cleaning & sanitary services items,Ministry of Close
122,Cleaning & Sanitary Services,2764749,2023-08-20,Supply and delivery of cleaning & sanitary services items,Ministry of Blood
123,Consultancy Services,6828926,2024-10-04,Supply and delivery of consultancy services items,Ministry of Yes
124,Cleaning & Sanitary Services,9895586,2025-12-17,Supply and delivery of cleaning & sanitary services items,Ministry of Floor
125,Cleaning & Sanitary Services,3021989,2021-05-29,Supply and delivery of cleaning & sanitary services items,Ministry of Onto
126,Consultancy Services,3813543,2020-04-13,Supply and delivery of consultancy services items,Ministry of Affect
127,Medical Supplies & Pharmaceuticals,1303920,2022-02-25,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Every
128,Office Stationery & Supplies,847852,2022-02-21,Supply and delivery of office stationery & supplies items,Ministry of Cold
129,ICT Equipment & Software,43599658,2021-01-17,Supply and delivery of ict equipment & software items,Ministry of Trade
130,Motor Vehicles & Spare Parts,7028655,2025-05-13,Supply and delivery of motor vehicles & spare parts items,Ministry of Almost
131,Medical Supplies & Pharmaceuticals,9596418,2024-11-02,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Green
132,Medical Supplies & Pharmaceuticals,1921367,2022-08-01,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Prepare
133,Office Stationery & Supplies,2999033,2021-05-11,Supply and delivery of office stationery & supplies items,Ministry of Or
134,Cleaning & Sanitary Services,1678315,2021-05-05,Supply and delivery of cleaning & sanitary services items,Ministry of Evening
135,Office Stationery & Supplies,8398852,2025-12-17,Supply and delivery of office stationery & supplies items,Ministry of Still
136,Construction & Civil Works,195642449,2022-02-17,Supply and delivery of construction & civil works items,Ministry of Any
137,Office Stationery & Supplies,1449590,2024-08-14,Supply and delivery of office stationery & supplies items,Ministry of Onto
138,Motor Vehicles & Spare Parts,5466645,2021-08-09,Supply and delivery of motor vehicles & spare parts items,Ministry of City
139,ICT Equipment & Software,11699747,2025-02-12,Supply and delivery of ict equipment & software items,Ministry of Tv
140,Medical Supplies & Pharmaceuticals,7203260,2023-02-03,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Relationship
141,Office Stationery & Supplies,9958401,2020-08-16,Supply and delivery of office stationery & supplies items,Ministry of Apply
142,Construction & Civil Works,370654634,2025-07-23,Supply and delivery of construction & civil works items,Ministry of Left
143,Office Stationery & Supplies,8382356,2024-10-16,Supply and delivery of office stationery & supplies items,Ministry of Thought
144,ICT Equipment & Software,31897110,2024-07-13,Supply and delivery of ict equipment & software items,Ministry of Born
145,Consultancy Services,1549991,2024-09-08,Supply and delivery of consultancy services items,Ministry of Poor
146,Cleaning & Sanitary Services,6139523,2024-09-09,Supply and delivery of cleaning & sanitary services items,Ministry of Yourself
147,Motor Vehicles & Spare Parts,6847741,2020-08-11,Supply and delivery of motor vehicles & spare parts items,Ministry of Or
148,Construction & Civil Works,362490090,2020-04-01,Supply and delivery of construction & civil works items,Ministry of Book
149,Motor Vehicles & Spare Parts,524528,2020-12-31,Supply and delivery of motor vehicles & spare parts items,Ministry of Buy
150,Office Stationery & Supplies,8090001,2025-03-23,Supply and delivery of office stationery & supplies items,Ministry of Whether
151,Cleaning & Sanitary Services,6550219,2022-03-03,Supply and delivery of cleaning & sanitary services items,Ministry of Should
152,Construction & Civil Works,371823844,2021-10-02,Supply and delivery of construction & civil works items,Ministry of Letter
153,ICT Equipment & Software,14118723,2024-07-27,Supply and delivery of ict equipment & software items,Ministry of Moment
154,Consultancy Services,8627835,2024-05-24,Supply and delivery of consultancy services items,Ministry of Bit
155,Medical Supplies & Pharmaceuticals,9180745,2020-12-04,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Himself
156,Motor Vehicles & Spare Parts,6762314,2022-01-03,Supply and delivery of motor vehicles & spare parts items,Ministry of Certainly
157,Consultancy Services,5930395,2020-09-26,Supply and delivery of consultancy services items,Ministry of Defense
158,ICT Equipment & Software,43928295,2022-08-20,Supply and delivery of ict equipment & software items,Ministry of Just
159,Office Stationery & Supplies,7942680,2024-08-12,Supply and delivery of office stationery & supplies items,Ministry of According
160,Consultancy Services,1909858,2021-06-21,Supply and delivery of consultancy services items,Ministry of Table
161,Medical Supplies & Pharmaceuticals,9882924,2022-11-03,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Few
162,Consultancy Services,5748393,2023-01-11,Supply and delivery of consultancy services items,Ministry of Bed
163,Medical Supplies & Pharmaceuticals,6384725,2021-08-05,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Senior
164,Motor Vehicles & Spare Parts,6809914,2024-07-11,Supply and delivery of motor vehicles & spare parts items,Ministry of Herself
165,ICT Equipment & Software,38639378,2023-10-11,Supply and delivery of ict equipment & software items,Ministry of Else
166,Construction & Civil Works,197892575,2020-11-28,Supply and delivery of construction & civil works items,Ministry of Some
167,Construction & Civil Works,52278684,2023-03-06,Supply and delivery of construction & civil works items,Ministry of Store
168,Motor Vehicles & Spare Parts,2807184,2021-05-14,Supply and delivery of motor vehicles & spare parts items,Ministry of Suffer
169,Office Stationery & Supplies,7973491,2022-07-28,Supply and delivery of office stationery & supplies items,Ministry of Why
170,Medical Supplies & Pharmaceuticals,1640724,2022-06-15,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Low
171,Cleaning & Sanitary Services,2065730,2025-09-16,Supply and delivery of cleaning & sanitary services items,Ministry of Name
172,Office Stationery & Supplies,7443728,2024-10-06,Supply and delivery of office stationery & supplies items,Ministry of High
173,Motor Vehicles & Spare Parts,9164281,2025-08-29,Supply and delivery of motor vehicles & spare parts items,Ministry of Level
174,Cleaning & Sanitary Services,4162224,2020-11-14,Supply and delivery of cleaning & sanitary services items,Ministry of Action
175,ICT Equipment & Software,35148748,2024-04-21,Supply and delivery of ict equipment & software items,Ministry of Nation
176,Medical Supplies & Pharmaceuticals,6860403,2025-08-29,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Become
177,Consultancy Services,6720241,2022-01-11,Supply and delivery of consultancy services items,Ministry of Interest
178,Medical Supplies & Pharmaceuticals,9195281,2025-11-21,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Community
179,Construction & Civil Works,291014521,2022-08-09,Supply and delivery of construction & civil works items,Ministry of Increase
180,ICT Equipment & Software,24647347,2024-07-21,Supply and delivery of ict equipment & software items,Ministry of Recent
181,Medical Supplies & Pharmaceuticals,853494,2025-07-14,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of City
182,ICT Equipment & Software,9531370,2025-05-31,Supply and delivery of ict equipment & software items,Ministry of Article
183,Construction & Civil Works,172202920,2025-11-12,Supply and delivery of construction & civil works items,Ministry of Sell
184,Consultancy Services,3804697,2024-10-16,Supply and delivery of consultancy services items,Ministry of Type
185,Construction & Civil Works,220700880,2023-02-12,Supply and delivery of construction & civil works items,Ministry of Find
186,Cleaning & Sanitary Services,5377420,2022-07-07,Supply and delivery of cleaning & sanitary services items,Ministry of Various
187,Construction & Civil Works,329094684,2024-01-31,Supply and delivery of construction & civil works items,Ministry of On
188,Medical Supplies & Pharmaceuticals,1860511,2025-03-28,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Set
189,Office Stationery & Supplies,3641815,2024-06-15,Supply and delivery of office stationery & supplies items,Ministry of Where
190,Office Stationery & Supplies,7489844,2022-01-24,Supply and delivery of office stationery & supplies items,Ministry of The
191,Office Stationery & Supplies,9203947,2021-09-04,Supply and delivery of office stationery & supplies items,Ministry of News
192,ICT Equipment & Software,5851826,2023-08-30,Supply and delivery of ict equipment & software items,Ministry of Choice
193,Consultancy Services,6490459,2024-03-14,Supply and delivery of consultancy services items,Ministry of Like
194,Motor Vehicles & Spare Parts,6172310,2023-11-11,Supply and delivery of motor vehicles & spare parts items,Ministry of Very
195,Motor Vehicles & Spare Parts,9117497,2023-04-07,Supply and delivery of motor vehicles & spare parts items,Ministry of Story
196,Consultancy Services,6453300,2023-09-16,Supply and delivery of consultancy services items,Ministry of Letter
197,Cleaning & Sanitary Services,9414387,2024-03-08,Supply and delivery of cleaning & sanitary services items,Ministry of Very
198,Motor Vehicles & Spare Parts,6701457,2024-11-13,Supply and delivery of motor vehicles & spare parts items,Ministry of Range
199,Medical Supplies & Pharmaceuticals,5837580,2022-06-05,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Decade
200,Consultancy Services,6125095,2025-04-14,Supply and delivery of consultancy services items,Ministry of Become
201,Construction & Civil Works,201257135,2020-03-22,Supply and delivery of construction & civil works items,Ministry of Good
202,Office Stationery & Supplies,325391,2022-05-04,Supply and delivery of office stationery & supplies items,Ministry of Serve
203,Motor Vehicles & Spare Parts,6798541,2024-06-09,Supply and delivery of motor vehicles & spare parts items,Ministry of Card
204,Medical Supplies & Pharmaceuticals,3732632,2023-02-14,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Now
205,Office Stationery & Supplies,9862681,2021-09-14,Supply and delivery of office stationery & supplies items,Ministry of Better
206,Motor Vehicles & Spare Parts,2635394,2023-01-26,Supply and delivery of motor vehicles & spare parts items,Ministry of Forget
207,Consultancy Services,5696526,2023-02-16,Supply and delivery of consultancy services items,Ministry of Sometimes
208,Office Stationery & Supplies,3391070,2023-10-24,Supply and delivery of office stationery & supplies items,Ministry of Agency
209,Consultancy Services,901955,2020-03-02,Supply and delivery of consultancy services items,Ministry of Style
210,ICT Equipment & Software,36067580,2023-03-28,Supply and delivery of ict equipment & software items,Ministry of Evening
211,ICT Equipment & Software,47616098,2021-06-12,Supply and delivery of ict equipment & software items,Ministry of Staff
212,ICT Equipment & Software,4292824,2021-10-27,Supply and delivery of ict equipment & software items,Ministry of Knowledge
213,Construction & Civil Works,172909846,2025-12-02,Supply and delivery of construction & civil works items,Ministry of Bring
214,Consultancy Services,5350295,2024-05-22,Supply and delivery of consultancy services items,Ministry of Thought
215,Medical Supplies & Pharmaceuticals,5779980,2022-03-28,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Product
216,Consultancy Services,5249534,2023-01-16,Supply and delivery of consultancy services items,Ministry of Candidate
217,Cleaning & Sanitary Services,3414344,2020-04-14,Supply and delivery of cleaning & sanitary services items,Ministry of Rather
218,Construction & Civil Works,393398588,2025-08-24,Supply and delivery of construction & civil works items,Ministry of List
219,Construction & Civil Works,268414459,2021-10-14,Supply and delivery of construction & civil works items,Ministry of Since
220,Cleaning & Sanitary Services,2127320,2020-01-12,Supply and delivery of cleaning & sanitary services items,Ministry of Group
221,ICT Equipment & Software,32176806,2025-11-23,Supply and delivery of ict equipment & software items,Ministry of Support
222,Motor Vehicles & Spare Parts,9884404,2024-06-21,Supply and delivery of motor vehicles & spare parts items,Ministry of Party
223,Consultancy Services,6430034,2023-05-24,Supply and delivery of consultancy services items,Ministry of Wall
224,Cleaning & Sanitary Services,8697467,2025-08-16,Supply and delivery of cleaning & sanitary services items,Ministry of Reduce
225,Medical Supplies & Pharmaceuticals,7131845,2023-03-14,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Physical
226,Office Stationery & Supplies,145475,2021-05-27,Supply and delivery of office stationery & supplies items,Ministry of Firm
227,Motor Vehicles & Spare Parts,8180552,2021-09-15,Supply and delivery of motor vehicles & spare parts items,Ministry of Still
228,Consultancy Services,5496364,2024-11-20,Supply and delivery of consultancy services items,Ministry of Page
229,Motor Vehicles & Spare Parts,1199577,2024-01-13,Supply and delivery of motor vehicles & spare parts items,Ministry of Send
230,ICT Equipment & Software,23760701,2022-04-07,Supply and delivery of ict equipment & software items,Ministry of Sing
231,Cleaning & Sanitary Services,7059972,2021-06-26,Supply and delivery of cleaning & sanitary services items,Ministry of Generation
232,Construction & Civil Works,17084335,2023-02-05,Supply and delivery of construction & civil works items,Ministry of Data
233,Office Stationery & Supplies,8291922,2024-12-07,Supply and delivery of office stationery & supplies items,Ministry of Herself
234,Cleaning & Sanitary Services,1631064,2022-09-22,Supply and delivery of cleaning & sanitary services items,Ministry of Choice
235,Cleaning & Sanitary Services,4511887,2024-04-08,Supply and delivery of cleaning & sanitary services items,Ministry of Them
236,Office Stationery & Supplies,8715797,2022-06-21,Supply and delivery of office stationery & supplies items,Ministry of Best
237,Medical Supplies & Pharmaceuticals,2176198,2020-05-16,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of View
238,Cleaning & Sanitary Services,3510580,2020-10-11,Supply and delivery of cleaning & sanitary services items,Ministry of Difficult
239,Construction & Civil Works,29437007,2022-09-04,Supply and delivery of construction & civil works items,Ministry of Hope
240,Office Stationery & Supplies,1848982,2024-01-22,Supply and delivery of office stationery & supplies items,Ministry of Interesting
241,Motor Vehicles & Spare Parts,9933673,2023-07-12,Supply and delivery of motor vehicles & spare parts items,Ministry of Natural
242,Office Stationery & Supplies,8566685,2024-09-02,Supply and delivery of office stationery & supplies items,Ministry of Try
243,Construction & Civil Works,85946128,2021-07-31,Supply and delivery of construction & civil works items,Ministry of Moment
244,Office Stationery & Supplies,6107509,2023-10-26,Supply and delivery of office stationery & supplies items,Ministry of Less
245,Construction & Civil Works,484791888,2024-02-18,Supply and delivery of construction & civil works items,Ministry of Yourself
246,Medical Supplies & Pharmaceuticals,4545818,2022-12-08,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Keep
247,Consultancy Services,6533636,2024-12-09,Supply and delivery of consultancy services items,Ministry of Charge
248,Cleaning & Sanitary Services,9272800,2023-01-13,Supply and delivery of cleaning & sanitary services items,Ministry of Memory
249,Motor Vehicles & Spare Parts,4730232,2024-04-07,Supply and delivery of motor vehicles & spare parts items,Ministry of Carry
250,Office Stationery & Supplies,9090499,2025-10-21,Supply and delivery of office stationery & supplies items,Ministry of Must
251,Construction & Civil Works,253785384,2025-03-06,Supply and delivery of construction & civil works items,Ministry of Buy
252,Motor Vehicles & Spare Parts,8247047,2024-03-01,Supply and delivery of motor vehicles & spare parts items,Ministry of Lose
253,Motor Vehicles & Spare Parts,2585670,2022-11-03,Supply and delivery of motor vehicles & spare parts items,Ministry of Skin
254,Office Stationery & Supplies,4123278,2020-12-09,Supply and delivery of office stationery & supplies items,Ministry of Operation
255,Motor Vehicles & Spare Parts,637977,2022-03-20,Supply and delivery of motor vehicles & spare parts items,Ministry of By
256,Motor Vehicles & Spare Parts,3768280,2023-08-11,Supply and delivery of motor vehicles & spare parts items,Ministry of Issue
257,Construction & Civil Works,137533665,2020-08-29,Supply and delivery of construction & civil works items,Ministry of Hope
258,Office Stationery & Supplies,4884808,2023-06-06,Supply and delivery of office stationery & supplies items,Ministry of Amount
259,Consultancy Services,6737640,2023-02-19,Supply and delivery of consultancy services items,Ministry of Buy
260,Consultancy Services,4754419,2022-03-24,Supply and delivery of consultancy services items,Ministry of House
261,Medical Supplies & Pharmaceuticals,4722580,2021-10-26,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Mention
262,Office Stationery & Supplies,7345136,2020-03-02,Supply and delivery of office stationery & supplies items,Ministry of Character
263,Motor Vehicles & Spare Parts,2222827,2020-11-07,Supply and delivery of motor vehicles & spare parts items,Ministry of Perform
